"store_branch_id","lat","lng"
"00868095685ee799fb5c158e8d081fe1","18.21666804","-100.307061"
"02020427c72aa211602ead141160a9eb","18.29439952","-100.3354585"
"0302e4778cdaf296d9b69564e6296b6b","18.2920893","-100.3094867"
"0309659a74b54b7933aa6c0571497d9b","18.25178819","-100.2957896"
"0a5262149db2b5b849da2128cee09358","18.29379167","-100.3434141"
"0cdeb3c8700028cdf750409d66e354da","18.24247021","-100.3187914"
"0dc6fb5924a8b917bc641666ed02663c","18.23190132","-100.3035534"
"144aa59c494a4450656ced49ea400d1b","18.30624324","-100.3557023"
"15bf16e04b6f5e730f38a7c6a4b47f21","18.23720815","-100.3109433"
"1679232b44bbe5c756a345fff42acd36","18.24601649","-100.3086727"
"16e537c9d1bf9a530aea9af2c8020f52","18.15139721","-100.2653426"
"175d039c07ea5128fa4e5ec01902a710","18.27112725","-100.321902"
"1ab8f7f99a1730f85df0b9e503c1a319","18.16038057","-100.3486084"
"1f660027cb64313d072c844d9fdc31e4","18.26115659","-100.3841515"
"1fab95c4c6d7555f391a045b4881b423","18.20735359","-100.3279674"
"1fc727dd540d924d2370b4d6ec0149fd","18.16204479","-100.3138352"
"215f4c85edb5fd23b7b095104bc34cb2","18.16636675","-100.3556639"
"21a6aed891ee4844c56a063a79a50208","18.36781719","-100.378075"
"22dcadd55bcd012e63ececc69c55bb74","18.14413078","-100.2795624"
"258f4c26a82a5239920a082ffe23cfc4","18.29840701","-100.3417428"
"25b1e6be606fe62b5770a5bfaf25bfec","18.37330462","-100.4111528"
"2771c8bdd43c6357cce12f9d946dcf75","18.28823035","-100.3204958"
"2aa560c85aeb4213b9af8bdd05805b91","18.21426285","-100.4182989"
"2bbf833e689d24b697f1f3529c3f3c4b","18.16396087","-100.3289941"
"2d69acabaafd2516eeffd3c69b3c1328","18.21834722","-100.4157926"
"37d89853e51879008c528640f48cf420","18.26785526","-100.3131934"
"383930af40caaa13760a10a9d6f418ab","18.21117516","-100.3322928"
"3ad5bfb1ba9eb8e0b76bdbaf0d8e6a3a","18.28998124","-100.3270063"
"3d8ac35d74ad2f875847247ebfd716ca","18.2595127","-100.4103554"
"3dd9ae393aa5327edfb27388758436bd","18.26223165","-100.4150073"
"3ddd4c29cab4178d89d549c6ba65c236","18.27282969","-100.3188144"
"3ecb75411e187833a1b822a0eaa255fa","18.36551405","-100.285449"
"41ca3a65599fb02ab0d0cdd23da1e922","18.22674063","-100.3084764"
"41d9a054007bfce5cd838d2f9b2d7db3","18.14043711","-100.2844967"
"49b7d60d6095a9f1129ce798102b62f4","18.24774342","-100.4035577"
"4a07fa0a140101e2270d5b95e7583401","18.37405355","-100.3727801"
"4a07fce9f9c16c911b8821717905a0d3","18.36874155","-100.3757226"
"4d4f7045619dd94fd41ddb64fbccf9f5","18.21133088","-100.3572387"
"4e1e1ec3892a5523e0d139f9aff41301","18.17107895","-100.2771877"
"4f01884af565f4d2df35419e09cf58d0","18.3002908","-100.3475328"
"539fefbf8bd77f800d05b04cce7b0f07","18.38568963","-100.3696931"
"57eb965a3305343348a2c179a610dce1","18.2730847","-100.3096969"
"585d8f4f36bc74acf0fc1fae7913b404","18.36794383","-100.3745542"
"58dc6da0edd08253743c7ed41280bcfc","18.36565645","-100.3755446"
"5a6dd51ef5ed276079b6a102d4ceb8f6","18.26493147","-100.3984146"
"6045691f87544c937a09d350d42eb3ba","18.23653802","-100.3957241"
"61c357d4bbf6b7421032a467b616f879","18.20249136","-100.3031091"
"6447951cd071f6f045fd4e6194920926","18.26469641","-100.4147223"
"64a244c174e03776c96385894252f149","18.3006967","-100.346934"
"64f6f160b2937501d7627285c5994b38","18.29435387","-100.3462338"
"69803373c7d9ae282a73c00e69f119b4","18.27451805","-100.3104656"
"6cd78596c7bf5ef34f3d5c197ef2ee8e","18.29504221","-100.3514953"
"6ff95b527827f48461836b1c64f48771","18.29153591","-100.3308614"
"70d57522d7e36733fe5015e687bea6f3","18.40652929","-100.413075"
"72238a1ce4cf02d9744926a5c8ac4368","18.28754233","-100.3351486"
"75d034354b7c54e65b50193f8f987386","18.29185582","-100.3237907"
"762276b0a3d020a8393c26579a6e5e7f","18.18327844","-100.3647675"
"7a44728dc60bafc53140a9f5ef7e4e75","18.26553112","-100.4141082"
"7b571744f2c64bcff08d971a64584874","18.25347603","-100.4308968"
"7c5c15309c5aecf4009261f4de305f6b","18.16514282","-100.306642"
"821dc9d74061fe7654b9ec20e574022d","18.29380989","-100.3273582"
"82862bb4ff9734b6f8fee2dcde6be96f","18.21922401","-100.4182133"
"83c1570496a3ead7f4202afb827d59bb","18.28524129","-100.3063336"
"850fc42b029db68d97f0aea6a8babe36","18.23036567","-100.3179937"
"86e6e48d0cb57f794b0c48162409fa74","18.29988541","-100.3484865"
"88c1e4665f49718496981b3228416f35","18.41156136","-100.4325684"
"8a0d17a3597b726e5ea4962c78f5715a","18.25405149","-100.4010471"
"8ade020f4c949f4e00ca91082d63a17e","18.24252486","-100.3304328"
"8d891dfc0e29d744c15c18adced74a68","18.24565541","-100.3324935"
"8f21cfda17b340aeee062220d0bee8e5","18.2031115","-100.2977136"
"90d3e898952320088d3de585f75a4873","18.29157506","-100.3315639"
"938420c4980439b9655c61c85b81333e","18.29083418","-100.3454097"
"95f4e98f4cc7d7902f1d1a8ab7f91ed5","18.28073811","-100.3470117"
"98f1ed7ef085ea37c8c55c5c2fa71593","18.18714895","-100.3517362"
"9a5936caaadf0204c75858717f7599dc","18.22236621","-100.4299112"
"9bbed42bb27f81a5bfd0d20362f166d9","18.18520563","-100.352189"
"9d65282d498c0338377867996e761399","18.29395023","-100.3511644"
"9edf91c62aa286f44ff3d5bdc8fd4126","18.30736507","-100.3603718"
"9ee54069c654bd92bdde05d7069f2bff","18.21630699","-100.4135579"
"9ef0cb7f21f56bf24ca5ef4194f69c64","18.22361669","-100.4064091"
"a08814af6c2379a480e261b3598ddbd5","18.24686279","-100.3899437"
"a3bed30221372366bcd9b9779f395d0b","18.30272275","-100.3446005"
"a5dc7c0c6d03a417245655307351f6e3","18.1944339","-100.3371192"
"a5f0c25eb4cb2ffb0d5448e60b8fb81c","18.19339741","-100.3405869"
"acfa0b3474e6656a0152e8726134a5d3","18.23550182","-100.3961716"
"afab9a94cf9d3d20ba7192204d5e48b3","18.26087442","-100.4115704"
"afd0a7b8d546fcc697bb93a5934b65c3","18.23159109","-100.3145"
"b0d9d8c3b55ee9cec6ad47eabdd124e4","18.30016248","-100.3481313"
"ba0018f165d20dcee11463e10a6da3ed","18.34164708","-100.2743268"
"badd648e39c3a7fe58e590535a01f3d2","18.19924301","-100.2780049"
"bcd4dbc5539531ec05afd3a6606e6642","18.29189866","-100.3392951"
"bfe3139dd28f6fbd4975532d24c1a81d","18.26080842","-100.4171133"
"c0834724a130435823cd55b5c35803ce","18.26055745","-100.4132614"
"cb9923a6dd88df09501f12dda7d1b64a","18.2684305","-100.3247982"
"cf0895f1e3beb8164f0a86e6f940ae56","18.16030841","-100.2606727"
"d22e58b6e6969ee211f5a1574bbb4d1c","18.18500307","-100.3522074"
"d237f0de94b6d1fb1404ea54b8d60795","18.15739715","-100.2775577"
"d2eabf65af6475ebcf03fc8e9c9435a2","18.36510793","-100.2856007"
"d3611de0b5969cc8353532bb9a119fa1","18.37799345","-100.3878598"
"d63b1919fe2cf76f494521dfa4389488","18.31327713","-100.360622"
"d775533c5bb0d918e32f944487f5d412","18.27514164","-100.31474"
"decedda6fcc87405942596033c7c89e1","18.20428306","-100.3217375"
"df31bc775fd577864c647b176ad23382","18.2174331","-100.416583"
"e67f4786f2429d047af4f12a9caa6cb1","18.2376411","-100.3273065"
"e9763f24fd46d0b9e52d423207a87c3c","18.27349402","-100.3195854"
"ea19343a1b5262c624347d89cc17aa9e","18.1577528","-100.3539343"
"ee8e90c26a58fb5291065418fb24eee1","18.1780169","-100.2727167"
"ef1f20333cb46e17f75fd18e5c22c5d3","18.31282759","-100.3607308"
"f45fd1f4de72b451f9d99e2a033de337","18.22698422","-100.3056448"
"f47e2da0585a86e70fabca0f6a16201e","18.3488587","-100.2753289"
"f82a21e295c90ae7bf09e1870b66edb8","18.27742084","-100.3561798"
"fca97ea77e0dab3e3111d2fabf5d8b9d","18.23107417","-100.3174647"
"ff26cf3f812af8a02f2cff150b5bb267","18.22448383","-100.4055143"
